time,VPC_continue_noiseless,VPC_rotX_noiseless,VPC_rotY_noiseless,VPC_rotX_Iz,VPC_rotY_Iz,VPC_rotX_Ix,VPC_rotY_Ix,VPC_rotX_IzIx,VPC_rotY_IzIx,OAT_noiseless,TACT_CSSz_none,TACT_CSSz_Iz,TACT_CSSz_Ix,TACT_CSSz_IzIx
0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
0.027500000000000004,0.8785373847116034,0.8785373847116034,0.8785373847116034,0.8861154700808243,0.8861154700808243,0.8872631403698253,0.8872631403698253,0.8952963970695557,0.8952963970695557,0.8462513791861931,0.7136073674692417,0.7144353668381255,0.7209594636715961,0.721788787396928
0.05500000000000001,0.763510898022415,0.763510898022415,0.763510898022415,0.777890233727174,0.777890233727174,0.7820081228055974,0.7820081228055974,0.7971336571798575,0.7971336571798575,0.7143878870879925,0.5057949049074015,0.5088445953612571,0.5187211651945489,0.5217809058746562
0.08250000000000002,0.6554944001215919,0.6554944001215919,0.6554944001215919,0.6758762746787098,0.6758762746787098,0.684278127559079,0.684278127559079,0.7055690337615902,0.7055690337615902,0.6030398780715337,0.3619224908483924,0.3683403163546301,0.37868390794491846,0.38513364732795224
0.11000000000000001,0.5554893020571672,0.5554893020571672,0.5554893020571672,0.5810425283056555,0.5810425283056555,0.5946313401505213,0.5946313401505213,0.6211713827724843,0.6211713827724843,0.5104462900886418,0.2677130064974686,0.27858835092591355,0.28687676820259156,0.29781992485157616
0.1375,0.46476360749046247,0.46476360749046247,0.46476360749046247,0.4946116125396682,0.4946116125396682,0.5139456272012665,0.5139456272012665,0.5448183903922171,0.5448183903922171,0.43467785006744697,0.21136369357329685,0.22787325618455778,0.2319026063586,0.2485245298326396
0.16500000000000004,0.3847193684368551,0.3847193684368551,0.3847193684368551,0.41793147805476727,0.41793147805476727,0.4432642684289885,0.4432642684289885,0.4775440396152361,0.4775440396152361,0.3738123419049428,0.1844026773553939,0.2078920756657734,0.20569437374468955,0.22933767390322654
0.19250000000000003,0.31678360489756396,0.31678360489756396,0.31678360489756396,0.35237291651326225,0.35237291651326225,0.3836759069317387,0.3836759069317387,0.42042356664071734,0.42042356664071734,0.32605524034655625,0.18178049561205054,0.21378285722964652,0.20354477372755334,0.23572291818396085
0.22000000000000003,0.26231801286181916,0.26231801286181916,0.26231801286181916,0.299246317195311,0.299246317195311,0.33622150446193183,0.33622150446193183,0.37448597587809923,0.37448597587809923,0.28981000406221796,0.20179867337165064,0.2439825397101966,0.22393859774238628,0.26628400774099653
0.24750000000000003,0.22254402842651796,0.22254402842651796,0.22254402842651796,0.25973336554046866,0.25973336554046866,0.301822599926252,0.301822599926252,0.3406472755762759,0.3406472755762759,0.26370823629873186,0.24628304148772884,0.3003027835496889,0.2685317108635929,0.3226599269545792
0.275,0.19848101999935977,0.19848101999935977,0.19848101999935977,0.23483106898967496,0.23483106898967496,0.28122681802248045,0.28122681802248045,0.3196599685925775,0.3196599685925775,0.24661135307373078,0.32101546221880894,0.38822854017427844,0.3422901234469778,0.4095554729248114
0.30250000000000005,0.1908962736368365,0.1908962736368365,0.1908962736368365,0.22530660826614543,0.22530660826614543,0.27496785773768434,0.27496785773768434,0.31207592936978645,0.31207592936978645,0.2375939997130219,0.4360283150664748,0.5170644631770575,0.4534852454754176,0.5346208043139475
0.33000000000000007,0.20026600749420226,0.19273543735140816,0.19273543735140805,0.22754205526466378,0.22758699440783836,0.2816381682542281,0.2815924732458684,0.31947336938313103,0.3194729598444083,0.2359168697168139,0.6051326946138584,0.6993557192336884,0.6130835509000734,0.7077618660410743
0.35750000000000004,0.2267469605612352,0.19273543735140805,0.19273543735140766,0.23016942311000171,0.23049919403693359,0.2901265683720797,0.2897865431037038,0.3306177133503968,0.3306094980479693,0.24099393229723617,0.8441183762434201,0.9490971763715369,0.8331497217003544,0.9395581682154005
0.38500000000000006,0.2701582140348991,0.19273543735140855,0.1927354373514087,0.23280845365074207,0.23368006602449296,0.2985739169154602,0.297662540502396,0.3417200818509746,0.3416844354394114,0.25235693734793846,1.1674397416951192,1.2786103982918628,1.124184126573963,1.238756096166301
0.41250000000000003,0.329972872945004,0.19273543735140805,0.19273543735140855,0.2354723248997317,0.23713563400287313,0.30698045969104537,0.30521665416400723,0.3527931458525462,0.3526981960291686,0.26961862342864323,1.5837719013729017,1.6944913981384333,1.4917225403756937,1.6091790272586455
0.44000000000000006,0.40531909637523494,0.19273543735140855,0.19273543735140805,0.23817414316456517,0.24087097310926645,0.315346440956204,0.31244596558506593,0.3638493983493399,0.36365120056945827,0.2924352909749685,2.0913840402175734,2.1935233292534777,1.93278359133275,2.0466222247656614
0.4675000000000001,0.4949897359294654,0.1927354373514083,0.1927354373514083,0.24092689873171125,0.24489019506949447,0.32367210342809233,0.31934844752640756,0.37490111345279825,0.37454386658043354,0.3204692321328944,2.674615436213184,2.759714165737455,2.428924600100539,2.533071013156612
0.49500000000000005,0.5974595262710302,0.1927354373514083,0.1927354373514088,0.24374342040418753,0.24919643677666162,0.3319576882927105,0.3259229605382569,0.3859603050239088,0.3853766083761193,0.3533518270508629,2.2572307922691244,2.353706140553787,2.2824081356108583,2.3770169654656255
0.5225000000000001,0.7109083500253873,0.1927354373514078,0.1927354373514087,0.2466363291099935,0.253791852426244,0.3402034352139192,0.33216924761279437,0.3970386850764721,0.39614983709013746,0.3906488099028067,1.9122926324118523,1.9943360741712215,1.9427329413638768,2.02613840750691
