theta,xi_ku_optimized
0.0,0.6015482266215912
0.2617993877991494,0.48785279428166356
0.5235987755982988,0.38005732942467024
0.7853981633974483,0.2571404948441077
1.0471975511965976,0.2586293424215576
1.308996938995747,0.20690113254213785
1.5707963267948966,0.20003367909157185
1.832595714594046,0.20690113254212994
2.0943951023931953,0.2586293424215624
2.356194490192345,0.25714049484406765
2.617993877991494,0.38005732942471604
2.8797932657906435,0.4878527942826832
3.141592653589793,0.6015482266188771
