time,VPC_CSS_equatorial,VPC_CSS_pi4,VPC_CSS_polar,OAT_CSS_equatorial,TACT_CSSy,TACT_CSSz_corrected
0.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002
0.06544984694978735,0.6802263815001134,0.7490019267039326,0.9748765671190877,0.6697489063424245,0.6796419052048205,0.44440220755425835
0.1308996938995747,0.445982905913251,0.5620288838970546,0.9060641326667883,0.45143287237078766,0.5075042009184036,0.22194603939218727
0.19634954084936207,0.28691358181262105,0.436990754919577,0.8106874644332122,0.32032235217944144,0.4601615186561285,0.1832172321260041
0.2617993877991494,0.2031051492733713,0.3413282011092777,0.7105031417062742,0.2537576403577039,0.506488585249189,0.28083215008739515
0.32724923474893675,0.1982103608803276,0.27062863074961807,0.6259155351050116,0.23577198632075774,0.6130681531689532,0.5853354408745572
0.39269908169872414,0.2004426848641549,0.2232229205978856,0.5720051085462916,0.25661035797195947,0.751573902584709,1.2744696812380703
0.4581489286485115,0.18871862518342544,0.1974430686625557,0.5566386342369888,0.31037303430795765,0.894148650636707,2.4694123762604723
0.5235987755982988,0.17949204414349135,0.18840948113104883,0.579972343865122,0.39222363090806817,0.8261044838558484,1.9004777076872588
0.5890486225480862,0.17323477542590657,0.17151909130569537,0.6296829717072623,0.49568356690565446,0.6494119556104384,1.4610926341996937
0.6544984694978735,0.17659087131623835,0.162021629971176,0.606334741978513,0.6107678721210645,0.5227608402840733,1.4327785854704387
0.7199483164476609,0.1805608646091816,0.15781207324906962,0.557382365562215,0.7242669994169751,0.4857600901423612,1.5554793364529877
0.7853981633974483,0.15217985138641663,0.15494113879053087,0.5240267663127259,0.8229490168751576,0.5620653937095413,1.5542625742844969
0.8508480103472356,0.15339064358405707,0.15415108733582522,0.5025187479998537,0.8981300313110026,0.7656601548077102,1.3480356279033647
0.916297857297023,0.1748660704278501,0.15639043307461425,0.48508578656414647,0.9481617845032748,0.9228248666732185,1.1746505280868207
0.9817477042468102,0.16861970055358486,0.16305176013529904,0.46330450944678664,0.9771207863954295,0.6664557934275742,1.3862975971771245
1.0471975511965976,0.1678745689418885,0.16264720302799418,0.43025919190406636,0.9915006228402757,0.5247460111315231,1.775478851819844
1.112647398146385,0.14380541973264904,0.16853073121324616,0.38723839585438646,0.9974502976735379,0.4676590707519748,1.9064478423539168
1.1780972450961724,0.17926660850022433,0.1796121334587181,0.3452914043411268,0.999413804637994,0.475753014725347,1.7774760993780763
1.2435470920459597,0.20829733754492885,0.1901545401024298,0.30987612188786734,0.9999035934334809,0.541612295224595,1.434685638550422
1.308996938995747,0.20814507987623856,0.1975412581110431,0.2794178312332746,0.999989845034045,0.6725034515911995,1.2310390724811817
1.3744467859455345,0.1976624407537708,0.20187233176823188,0.2510180366415144,0.9999994489822558,0.8920062037049042,1.4792628516346122
1.4398966328953218,0.15702233956011286,0.20776817059753355,0.22432718177284297,0.9999999908023582,0.8163343579784852,2.084539478933933
1.505346479845109,0.15842337987049143,0.21175707591218693,0.20381085671257435,0.9999999999912603,0.6024278674010918,2.607574202950119
1.5707963267948966,0.16298162936518049,0.21691550905493617,0.19601381429727546,1.0000000000000002,0.5016682316633927,2.7007732000396096
