I,TACT_CSSz_t_KU,TACT_CSSz_xi_KU,VPC_t_KU,VPC_xi_KU,TACT_CSSz_t_Wineland,TACT_CSSz_xi_Wineland,VPC_t_Wineland,VPC_xi_Wineland
1.5,0.3022998940386005,0.3333333333333333,0.534,0.3333333333333339,0.20838386406356366,0.5801810012205935,0.54,0.5801810012205901
2.5,0.22856063567104337,0.22809435732932998,1.223,0.20000048753038727,0.15568221949821134,0.44112531502769964,1.4,0.41647179804173823
3.5,0.18184000428187755,0.18009113304375227,1.119,0.14306876326763276,0.12831891961204792,0.3576137292201394,1.1,0.3265426921006687
