time,OAT_none,TACT_CSSy_none,TACT_CSSz_none,VPC_KUphases_continue_none,VPC_Rphases_rotX_none,VPC_Rphases_rotY_none,OAT_Iz,TACT_CSSy_Iz,TACT_CSSz_Iz,VPC_KUphases_continue_Iz,VPC_Rphases_rotX_Iz,VPC_Rphases_rotY_Iz,OAT_Iz2,TACT_CSSy_Iz2,TACT_CSSz_Iz2,VPC_KUphases_continue_Iz2,VPC_Rphases_rotX_Iz2,VPC_Rphases_rotY_Iz2
0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
0.03235294117647059,0.9383397745610624,0.9383602637139891,0.8824072989118792,0.9305024214767134,0.9501294000577343,0.9501294000577343,0.9445879262562602,0.9446173149590176,0.8828026719419956,0.9395875811598885,0.9534179886507287,0.9534179886507287,0.9393059183387349,0.9393277141293352,0.8824469148772319,0.9317409133339317,0.950770259047344,0.950770259047344
0.06470588235294118,0.8824258914833093,0.8825745847643666,0.7860144895595097,0.8683003603518721,0.9040257148887584,0.9040257148887584,0.894677661481261,0.8948978907104594,0.7875357897325207,0.8861410666482499,0.9105506398618232,0.9105506398618232,0.8843567166808143,0.8845154716038958,0.786167249948474,0.8707579020014623,0.905281099391643,0.905281099391643
0.09705882352941178,0.8318110971069104,0.8322656428891003,0.7082547948943245,0.8127571079914635,0.8614566202676435,0.8614566202676435,0.8498777687298785,0.8505757951003929,0.7116053271708183,0.839150877508955,0.8711799018138067,0.8711799018138067,0.8347144407378883,0.8352017239585334,0.7085920503488023,0.8164336865019531,0.8633057658649975,0.8633057658649975
0.12941176470588237,0.7861361834797367,0.7871091698886107,0.6479489864932528,0.7633856739357608,0.8222228063336986,0.8222228063336986,0.8098828638085523,0.8114400431083567,0.6538746358649962,0.798246487383502,0.8351224563071492,0.8351224563071492,0.790030017901171,0.7910779092653077,0.6485471253797407,0.7683013948154325,0.8246504964423415,0.8246504964423415
0.16176470588235295,0.7451252169631991,0.7468327795121263,0.6053985293708789,0.7198410502150471,0.786156450209723,0.786156450209723,0.774470012879929,0.7773368005823434,0.6147447050499698,0.7631918814676354,0.802228458749725,0.802228458749725,0.7500385879433478,0.7518874948814847,0.6063451153482391,0.7260374665604927,0.7891530587996931,0.7891530587996931
0.19411764705882356,0.7085833246592358,0.7112139403010271,0.5827452444967598,0.6819188838149206,0.753120101290999,0.753120101290999,0.7434977251692881,0.7481709249219745,0.5964992738672041,0.733886909318965,0.7723807690923743,0.7723807690923743,0.7145574280963802,0.7174241213846019,0.5841440063365924,0.6894610564860183,0.7566817036569564,0.7566817036569564
0.22647058823529415,0.6763970828228733,0.6800770576002263,0.5847398714492176,0.6495609761301924,0.7230059697536825,0.7230059697536825,0.7169076353874484,0.7239068549041441,0.6040422603374174,0.7103750466842913,0.7454946750569156,0.7454946750569156,0.6834865130013713,0.6875288028618922,0.5867130426671353,0.6585403974255014,0.727134525963492,0.727134525963492
0.25882352941176473,0.6485376840288458,0.653289518227143,0.6202218382029776,0.6228685968636496,0.6957356127259328,0.6957356127259328,0.694729111062054,0.7045687186149535,0.6462962618622561,0.692858604519245,0.7215181156143184,0.7215181156143184,0.6568118828393427,0.662086021964323,0.6229050265542936,0.6334071629378303,0.7004392289585624,0.7004392289585624
0.2911764705882353,0.6250672113073082,0.6307564488269364,0.7049460496397639,0.6021253228314186,0.6712600160052116,0.6712600160052116,0.6770871834911769,0.6902393762293892,0.7388142355276037,0.6817230966766771,0.700432419180515,0.700432419180515,0.6346121433855274,0.6410184508783271,0.7084623100168354,0.6143806090705989,0.6765532896216149,0.6765532896216149
0.3235294117647059,0.6061485298210881,0.6124138523907431,0.8671459170191753,0.587832093620867,0.6495600719534184,0.6495600719534184,0.6642144007845534,0.6810579516714842,0.908771732169781,0.6775733965134552,0.6822535771866862,0.6822535771866862,0.617068601423432,0.6242799375774457,0.871522551356264,0.6020042789406432,0.6554645267750832,0.6554645267750832
0.3558823529411765,0.592059535527951,0.5982197279846384,1.159061817604825,0.5807585721016931,0.6306474559481495,0.6306474559481495,0.6564674548171209,0.6772152370138965,1.2049433840229256,0.6812856199397942,0.6670340792418296,0.6670340792418296,0.6044797627549556,0.611846332184227,1.1639863401199384,0.5970994818478504,0.6371920747943034,0.6371920747943034
0.3882352941176471,0.5832127966260742,0.5881427645443792,1.6825760583113547,0.5820169521331916,0.6145659041011091,0.6145659041011091,0.6543497644245239,0.6789461860231262,1.7188989393922753,0.6940805911629586,0.6548653405934483,0.6548653405934483,0.5972812076687536,0.6037037100826959,1.6866770519179433,0.6008418578710292,0.6217877660876482,0.6217877660876482
0.4205882352941177,0.5801820163798931,0.5821482562996674,2.651720060647386,0.5931674604653363,0.6013928933232616,0.6013928933232616,0.6585416374890817,0.6865185690876897,2.633757382101727,0.7176276348744752,0.6458807553688394,0.6458807553688394,0.5960722371212486,0.5998336037316074,2.650322182598155,0.6148705066168904,0.6093379236631709,0.6093379236631709
0.4529411764705883,0.5837372759618655,0.5801810472780061,4.564907551077144,0.6163696014477325,0.591241720489469,0.591241720489469,0.6699402308644692,0.7002167751966071,4.348524909680705,0.7541918815585598,0.6402594092387817,0.6402594092387817,0.6016511895961998,0.6001950183316024,4.542235909231809,0.6414440488930792,0.5999655604369996,0.5999655604369996
0.4852941176470589,0.5948917415840781,0.5821456104471386,8.766935572562469,0.6546007842127339,0.5842639694721992,0.5842639694721992,0.6897123455602304,0.720319768309392,7.842290820805966,0.8068452569338022,0.6382304814220754,0.6382304814220754,0.61506201679419,0.604703315371504,8.664038391200318,0.6836657045710783,0.5938329734668831,0.5938329734668831
0.5176470588235295,0.6149635260262521,0.5878838329161394,19.80757587134063,0.7119762439088607,0.5806523419274744,0.5806523419274744,0.7193642313555784,0.7470724023693248,15.972241186094793,0.8797725497930758,0.6400783566026004,0.6400783566026004,0.6376556521592327,0.613206535269581,19.348654490563767,0.745811911611574,0.5911447077211681,0.5911447077211681
