time,VPC_CSS_equatorial,VPC_CSS_pi4,VPC_CSS_polar,OAT_CSS_equatorial,TACT_CSSy,TACT_CSSz_corrected
0.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999
0.04619989196455578,0.8963015581223529,0.8922709248903847,0.9957432555974376,0.9098399030651457,0.9099024238872494,0.8245078184129007
0.09239978392911156,0.7991755997276814,0.790021227076417,0.9831168440093706,0.8245668162355564,0.8250384392840528,0.6705399852173288
0.13859967589366734,0.7094507692474114,0.6974634954064419,0.9625408924222519,0.744759358980371,0.7462460823914655,0.5420316930312357
0.18479956785822313,0.6278925672991068,0.6153487919027277,0.9346801968290519,0.6709477592228158,0.6742044103138957,0.4422674258423491
0.23099945982277892,0.5551968197051745,0.5451039097680538,0.9003986169618884,0.6036084104929592,0.6094149489088444,0.37379701240144714
0.2771993517873347,0.49198374095228803,0.4879742044306652,0.8607077694568176,0.5431588407708957,0.5521885595214572,0.33837045632895113
0.3233992437518905,0.4387926427400621,0.4450024362700593,0.8167178758704359,0.48995311825971527,0.5026384142297143,0.33689320858200195
0.36959913571644626,0.3960773327637915,0.41663274916643767,0.7695964328931622,0.4442777140265714,0.4606796542008029,0.36940302545233994
0.415799027681002,0.36420224298719933,0.39479839064736716,0.7205374343926133,0.40634783557854437,0.42603617081185036,0.43506900357070905
0.46199891964555784,0.34343932043741915,0.3761233228917082,0.6707411579875951,0.37630423906797933,0.39825478412191423,0.5322128165816722
0.5081988116101136,0.3339657070488456,0.36072747969244023,0.6214026089811789,0.35421052105971845,0.37672688380888397,0.6583516107104739
0.5543987035746694,0.33333333333333437,0.34870110627240386,0.573705723854235,0.34005088381726933,0.36071732658984806,0.8102614628740232
0.6005985955392251,0.3333333333333337,0.3401062002949988,0.5288202000948123,0.33372836116223376,0.34940003474093784,0.9840597794394753
0.646798487503781,0.3333333333333335,0.33497925574267434,0.4878980448821515,0.33506348558969073,0.3418993030203165,1.1753045296386777
0.6929983794683368,0.3333333333333334,0.33333333333336057,0.45206734817193867,0.34379337220948125,0.3373353031996911,1.379107777377536
0.7391982714328925,0.3333333333333337,0.33333333333333637,0.42242119990621,0.35957119236880003,0.3348717113461716,1.5902606097333287
0.7853981633974483,0.3333333333333341,0.3333333333333333,0.40000000000000013,0.3819660112501053,0.33376284352483937,1.8033662691502694
0.831598055362004,0.3333333333333334,0.3333333333333364,0.38576565191650625,0.41046297198131176,0.3333972757431168,2.012978086669162
0.8777979473265599,0.3333333333333339,0.3333333333333353,0.3805663498010108,0.44446382775287824,0.333334766635623,2.213738690819518
0.9239978392911157,0.3333333333333334,0.3333333333333339,0.3850909804957749,0.4832878586985829,0.3333335042168852,2.263811640292334
0.9701977312556714,0.3333333333333334,0.33333333333333354,0.3998127242601181,0.5261732695155145,0.3333653114819409,2.066202704236512
1.0163976232202272,0.3333333333333373,0.3333333333333333,0.42075996564010837,0.5722792567910565,0.3336174293925083,1.8583822114352422
1.062597515184783,0.33333333333333387,0.33333333333334,0.4356038208989799,0.6206890730686879,0.33448071237969174,1.6456617497192878
1.1087974071493387,0.33333333333333365,0.3333333333333335,0.4405238307030845,0.670414608197889,0.3365253166520055,1.433478142958012
1.1549972991138946,0.3333333333333339,0.33333333333333376,0.4364128350101284,0.720403261344785,0.3404660225864678,1.227254493793355
1.2011971910784502,0.33333333333333376,0.3333333333333333,0.42584646155774214,0.7695481759283349,0.3471200501176605,1.0322615770683274
1.2473970830430061,0.3333333333333335,0.3333333333333342,0.41133037446936943,0.8167032074062378,0.3573605339318599,0.8534831265312226
1.293596975007562,0.33333333333333365,0.3333333333333337,0.3950092485537377,0.8607041877307317,0.3720687527402857,0.6954884578904021
1.3397968669721176,0.3333333333333333,0.33333333333333504,0.3786313062113776,0.900397966929953,0.39208785076847236,0.5623156837880118
1.3859967589366735,0.33333333333333354,0.33333333333333387,0.363570842836,0.9346801197390199,0.41818027255310836,0.4573685055471311
1.4321966509012292,0.3333333333333339,0.3333333333333346,0.35087152194642557,0.9625408877195122,0.45099056616088634,0.3833292195443278
1.478396542865785,0.33333333333333387,0.3333333333333342,0.3412924462992242,0.983116843922878,0.4910146752045081,0.3420901616374841
1.524596434830341,0.3333333333333335,0.33333333333333365,0.3353473929161452,0.9957432555968415,0.5385763801149579,0.3347053418290676
1.5707963267948966,0.333333333333334,0.3333333333333342,0.33333333333333326,1.0,0.5938111773241611,0.3613635053120959
