time,OAT_none,TACT_CSSy_none,TACT_CSSz_none,OAT_Iz2,TACT_CSSy_Iz2,TACT_CSSz_Iz2,VPC_rotX_none,VPC_rotX_Iz2,VPC_rotY_Iz2
0.0,0.9999999999999997,0.9999999999999997,1.0000000000000002,0.9999999999999998,0.9999999999999998,1.0000000000000002,0.9999999999999997,0.9999999999999998,0.9999999999999998
0.027500000000000004,0.8945747405686492,0.8948043594226236,0.7981768957062713,0.8962756246111082,0.8965206599402447,0.7986888368053076,0.9148898403906044,0.9171755414683153,0.9171755414683153
0.05500000000000001,0.7983885558883927,0.8000779463111574,0.6321957387220662,0.8018541332981727,0.8036731823977272,0.6341022775059354,0.8321846470166202,0.8367889788090584,0.8367889788090584
0.08250000000000002,0.7114537570200293,0.7167032356447394,0.5001001161648808,0.7166650160761068,0.7223703176780152,0.5040562513436808,0.7521702102238756,0.7591329053387647,0.7591329053387647
0.11000000000000001,0.6336414922563731,0.6451249647315944,0.3987627954577205,0.6405129271334833,0.6531101270936687,0.4051894973672184,0.6752452830002579,0.6846069865581813,0.6846069865581813
0.1375,0.5647094640893642,0.5854750601298813,0.3244496731210308,0.5731059131369831,0.596088938812559,0.3335433143317993,0.6019004746446035,0.6136960339320389,0.6136960339320389
0.16500000000000004,0.5043290680636361,0.5376714871023349,0.2733929107372212,0.5140818836090135,0.5512866624063866,0.2851464529989712,0.5326973313996504,0.5469487805856248,0.5469487805856248
0.19250000000000003,0.45211061003869857,0.5014822346071786,0.24231957873034035,0.46303228503994526,0.5185185174336764,0.2565508750195492,0.4682481876322617,0.4849577981660408,0.4849577981660408
0.22000000000000003,0.4076256666979548,0.47655560679087355,0.2288868710005448,0.4195223625855588,0.4974563091768924,0.2452694164809234,0.40919707883412204,0.4283407420619896,0.4283407420619896
0.24750000000000003,0.37042606008731227,0.46242475068835426,0.23198390624851867,0.3831077709891585,0.48762803242798586,0.25007588900834765,0.3562018417437315,0.3777229781082712,0.3777229781082712
0.275,0.3400592739161171,0.4584974042665597,0.25187251890763507,0.35334759780943836,0.48840663335701323,0.27114099453225043,0.3099174421586839,0.3337215820430611,0.3337215820430611
0.30250000000000005,0.316080418842248,0.46404167335582197,0.29015419751293103,0.32981407408779806,0.498997843798867,0.3099925087825163,0.270980534708385,0.296930681958004,0.296930681958004
0.33000000000000007,0.29806104571097675,0.478176030928097,0.34956618448429194,0.3120993727658753,0.5184339262739026,0.36930420509061934,0.23999524912351805,0.26790811384039737,0.26790811384039737
0.35750000000000004,0.2855952139319412,0.49986728673997405,0.4336253490297441,0.29981994618151975,0.5455754798268871,0.4525335706111795,0.2175202007075586,0.24716336913520848,0.24716336913520848
0.38500000000000006,0.27830326019344465,0.5279341757584165,0.5461524463645769,0.29261884829825036,0.5791172510662413,0.5634421787562974,0.20405673072587832,0.235146824352349,0.235146824352349
0.41250000000000003,0.2758336977445566,0.5610461865239368,0.6907205787780213,0.29016644286070614,0.6175858276161488,0.7055434446816408,0.20003367909157185,0.23238729310884682,0.23238913021523294
0.44000000000000006,0.2778636255949848,0.5976969634865779,0.8700791109550364,0.29215983102932486,0.6593068463995948,0.8815294775550278,0.20003367909157194,0.23427332648929014,0.2343658780265397
0.4675000000000001,0.284097954672505,0.6361203889896032,1.0856073154589123,0.2983212533479832,0.702308765705627,1.0927312565431975,0.2000336790915708,0.23616301126702402,0.23648160424357484
0.49500000000000005,0.29426767513215346,0.6741142560421738,1.3368503598402095,0.3083956396982178,0.7441311183882472,1.338664179176049,0.20003367909157133,0.23806067379860715,0.23873845881163058
0.5225000000000001,0.308127303015568,0.708774663086382,1.62118401677375,0.32214740286732624,0.7815610543694047,1.6167043406102146,0.20003367909157205,0.23997061488424568,0.24113806063978496
0.55,0.32545155996190234,0.736305463427734,1.9336441922160337,0.33935650036752485,0.810533231476183,1.9219302615419742,0.20003367909157177,0.2418971005984057,0.24368146840086008
0.5775000000000001,0.34603125977722043,0.7524038366177479,2.2669438775391417,0.3598137285181922,0.8268076389131032,2.2471510860629196,0.20003367909157177,0.24384435273537788,0.24636915526766137
0.6050000000000001,0.3696683034207936,0.7537864161237959,2.327962342418639,0.3833151667443141,0.8278683454057532,2.340007707567146,0.2000336790915715,0.24581653884387364,0.24920098799703005
0.6325000000000001,0.396169624145165,0.7401387376045588,1.9918748634630645,0.4096556651516304,0.8146944065358153,2.020003433376801,0.2000336790915716,0.24781776182936924,0.2521762107034813
0.6600000000000001,0.42533988587016286,0.7143360573316773,1.6750944475541325,0.43862127534055845,0.7911505652001227,1.719168846366412,0.20003367909157133,0.24985204910889064,0.25529343358914575
0.6875000000000001,0.4569727358212566,0.6806451572530083,1.3853061883361721,0.4699805793406833,0.7617371301350052,1.4447512824962616,0.2000336790915716,0.2519233413101971,0.25855062681853996
0.7150000000000001,0.49084047234282957,0.643008886524565,1.1278958070840492,0.5034749972913912,0.7301109728570643,1.2017722342527064,0.2000336790915714,0.2540354805160273,0.26194511964704886
0.7425,0.5266821487165523,0.6044842549691601,0.9058980248505637,0.5388083796237995,0.6988665109973974,0.9929912512619168,0.20003367909157177,0.25619219806412213,0.26547360483304167
0.7700000000000001,0.5641904452521166,0.5673777918240016,0.7201347973670361,0.5756365433104345,0.6698387723303394,0.8190502939152708,0.20003367909157124,0.25839710192519255,0.2691321482869287
0.7975000000000001,0.6029981634007824,0.5335174826983197,0.5695234696466291,0.6135579111989575,0.6444196176018971,0.6787781650566641,0.2000336790915717,0.26065366369372284,0.2729162038379516
0.8250000000000001,0.6426659711782373,0.5044476688172358,0.4515209583970428,0.6521070373004092,0.6237533106627386,0.5696216484191183,0.2000336790915716,0.2629652052403998,0.2768206329324291
0.8525000000000001,0.6826740396719468,0.4815271364506444,0.3626591405158267,0.6907534487242799,0.6088278997402583,0.48815997738235894,0.2000336790915717,0.26533488508981246,0.28083972901678866
0.8800000000000001,0.7224212893634414,0.46596331830619475,0.2991196235649786,0.728908679105231,0.6005061558535715,0.4306530640732838,0.2000336790915715,0.26776568460268296,0.28496724630586123
0.9075000000000001,0.7612366929873046,0.4588161597110121,0.25729357400018704,0.7659442311682112,0.5995313226149536,0.39357203193313506,0.2000336790915715,0.2702603940579279,0.28919643259216377
0.9350000000000002,0.7984067334750404,0.46099435271104594,0.23427447416878877,0.8012220272970764,0.6065294611584077,0.3740631440836853,0.20003367909157116,0.27282159874596446,0.2935200657155213
0.9625000000000001,0.8332208205866918,0.4732559873300028,0.2282383652227616,0.8341363763570673,0.622018917353481,0.3703029594323376,0.2000336790915714,0.2754516652004093,0.2979304932843238
0.9900000000000001,0.8650317631359954,0.49621725043064374,0.2386767256967012,0.8641628331758346,0.646428917412754,0.38171287964419154,0.2000336790915714,0.2781527277102864,0.3024196752197333
1.0175,0.89332208388108,0.5303663893383308,0.266460719817064,0.8909056544765322,0.6801227748935691,0.40901427263199236,0.2000336790915716,0.28092667526844417,0.30697922868158195
1.0450000000000002,0.9177616533345606,0.5760754178068126,0.3137309579822484,0.9141336685024578,0.7234160468099005,0.4541199472934136,0.2000336790915715,0.283775139123589,0.3116004749290043
1.0725000000000002,0.9382413176196487,0.6335990658335156,0.3836228224669193,0.9337958553528409,0.7765757241423501,0.519872656111132,0.20003367909157185,0.2866994811126423,0.3162744876689678
1.1,0.9548728401762542,0.703049805792716,0.47985245999856907,0.9500128678523098,0.8397812289013178,0.609655240359869,0.20003367909157133,0.28970078295643403,0.32099214245110896
