phi_a,xi_ku
-3.141592653589793,0.33351584650998306
-3.0630528372500483,0.3333339170131988
-2.9845130209103035,0.33340494006518034
-2.9059732045705586,0.33353704655738525
-2.827433388230814,0.33361638855376885
-2.748893571891069,0.3335997838132137
-2.670353755551324,0.33350301243216407
-2.5918139392115793,0.3333856789073195
-2.5132741228718345,0.33333383015389567
-2.4347343065320897,0.3334417134047121
-2.356194490192345,0.333794160381286
-2.2776546738526,0.3344510955781181
-2.199114857512855,0.33543558609790197
-2.1205750411731104,0.3367266687023578
-2.0420352248333655,0.3382578842509611
-1.9634954084936207,0.3399219895674869
-1.8849555921538759,0.34158167922208454
-1.806415775814131,0.34308534956210535
-1.7278759594743862,0.34428606091103003
-1.6493361431346414,0.34506107736777514
-1.5707963267948966,0.3453289291708887
-1.4922565104551517,0.3450610773677751
-1.413716694115407,0.34428606091102987
-1.335176877775662,0.3430853495621049
-1.2566370614359172,0.3415816792220845
-1.1780972450961724,0.3399219895674872
-1.0995574287564276,0.3382578842509611
-1.0210176124166828,0.336726668702358
-0.9424777960769379,0.33543558609790214
-0.8639379797371931,0.3344510955781179
-0.7853981633974483,0.3337941603812859
-0.7068583470577035,0.3334417134047121
-0.6283185307179586,0.3333338301538955
-0.5497787143782138,0.3333856789073195
-0.47123889803846897,0.33350301243216424
-0.39269908169872414,0.3335997838132138
-0.3141592653589793,0.33361638855376885
-0.23561944901923448,0.3335370465573852
-0.15707963267948966,0.33340494006518034
-0.07853981633974483,0.33333391701319887
0.0,0.33351584650998317
0.07853981633974483,0.33422305551210907
0.15707963267948966,0.3358056529157678
0.23561944901923448,0.33868392154027677
0.3141592653589793,0.3433362921464413
0.39269908169872414,0.35028367637917485
0.47123889803846897,0.3600711096474479
0.5497787143782138,0.3732477370504534
0.6283185307179586,0.3903461745496621
0.7068583470577035,0.4118622109048609
0.7853981633974483,0.43823570396589195
0.8639379797371927,0.46983338736716135
0.9424777960769379,0.506934156537899
1.0210176124166832,0.5497172575602283
1.0995574287564276,0.5982536656081173
1.178097245096172,0.6525008147047611
1.2566370614359172,0.712300728117652
1.3351768777756625,0.7773814982732351
1.413716694115407,0.8473619754808309
1.4922565104551513,0.9217594448767231
1.5707963267948966,0.9999999999999997
1.6493361431346418,0.9217594448767227
1.7278759594743862,0.8473619754808301
1.8064157758141306,0.7773814982732344
1.8849555921538759,0.7123007281176514
1.9634954084936211,0.652500814704761
2.0420352248333655,0.5982536656081172
2.12057504117311,0.5497172575602279
2.199114857512855,0.5069341565378984
2.2776546738526005,0.4698333873671612
2.356194490192345,0.43823570396589145
2.434734306532089,0.4118622109048608
2.5132741228718345,0.39034617454966164
2.5918139392115798,0.37324773705045305
2.670353755551324,0.36007110964744754
2.7488935718910685,0.35028367637917457
2.827433388230814,0.3433362921464413
2.905973204570559,0.33868392154027666
2.9845130209103035,0.3358056529157676
3.063052837250048,0.33422305551210907
3.141592653589793,0.333515846509983
