time,VPC_Iz,cat_Iz,VPC_Iz2,cat_Iz2
0.0,1.0,0.9999999999999998,1.0,0.9999999999999998
0.025,0.9959789323364958,0.9944065223056164,0.9997834460474146,0.9999999999999998
0.05,0.9919928368339495,0.9888756185966681,0.9995670003447408,0.9999999999999998
0.07500000000000001,0.9880413598039222,0.9834065888607711,0.9993506628378673,0.9999999999999998
0.1,0.9841241513428985,0.9779987409165498,0.9991344334727095,0.9999999999999998
0.125,0.9802408652907821,0.9726513903260297,0.9989183121952101,0.9999999999999998
0.15000000000000002,0.9763911591898502,0.9673638603080136,0.9987022989513388,0.9999999999999998
0.17500000000000002,0.9725746942441663,0.962135481652426,0.9984863936870921,0.9999999999999998
0.2,0.9687911352794392,0.9569655926356139,0.9982705963484941,0.9999999999999998
0.225,0.9650401507033297,0.9518535389365977,0.998054906881595,0.9999999999999998
0.25,0.9613214124661964,0.9467986735542576,0.9978393252324729,0.9999999999999998
0.275,0.9576345960222756,0.9418003567254459,0.997623851347232,0.9999999999999998
0.30000000000000004,0.9539793802912933,0.9368579558440171,0.9974084851720041,0.9999999999999998
0.325,0.950355447620501,0.9319708453807621,0.9971932266529473,0.9999999999999998
0.35000000000000003,0.9467624837471335,0.9271384068042396,0.9969780757362474,0.9999999999999998
0.375,0.9432001777612811,0.9223600285024917,0.9967630323681165,0.9999999999999998
0.4,0.9396682220691754,0.9176351057056358,0.9965480964947935,0.9999999999999998
0.42500000000000004,0.9361663123568804,0.912963040409324,0.9963332680625447,0.9999999999999998
0.45,0.9326941475543846,0.9083432412990553,0.996118547017663,0.9999999999999998
0.47500000000000003,0.9292514298000949,0.9037751236753382,0.9959039333064683,0.9999999999999998
0.5,0.9258378644057199,0.8992581093796884,0.9956894268753067,0.9999999999999998
0.525,0.922453159821544,0.8947916267214543,0.995475027670552,0.9999999999999998
0.55,0.9190970276020856,0.8903751104054627,0.9952607356386041,0.9999999999999998
0.5750000000000001,0.9157691823721366,0.8860080014604719,0.9950465507258901,0.9999999999999998
0.6000000000000001,0.9124693417931766,0.8816897471684264,0.9948324728788639,0.9999999999999998
0.625,0.9091972265301602,0.8774198009945036,0.9946185020440059,0.9999999999999998
