time,VPC_optimized_xiR,OAT,TACT_CSSy,TACT_CSSz_corrected
0.0,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
0.06544984694978735,0.8648215201416455,0.8812040027094702,0.8813575375673877,0.7840242055635878
0.1308996938995747,0.7578996025627478,0.7841495427844044,0.7851516638244407,0.6455938522363691
0.19634954084936207,0.6757017524547966,0.706223863826083,0.7089237510165805,0.5820172802807055
0.2617993877991494,0.617314097820159,0.646193853246051,0.6510404073263475,0.625642964866206
0.32724923474893675,0.5848775246023992,0.6042763867142479,0.6105714357473219,0.8927656465118246
0.39269908169872414,0.5801810012205991,0.5824336462826284,0.587073864070712,1.7827584158598277
0.4581489286485115,0.5801810012205928,0.5849892022935316,0.580235030986673,5.028831939955382
0.5235987755982988,0.5801810012205932,0.6197549886826718,0.589332691611613,23.62088369199372
0.5890486225480862,0.5801810012205915,0.7000320094505403,0.6125279959653404,941.8832489648586
0.6544984694978735,0.5801810012205904,0.8481834753517331,0.6461442959845963,135.80807501046866
0.7199483164476609,0.5801810012205901,1.1021648134537525,0.6842810793760594,38.171050205010275
0.7853981633974483,0.5801810012205912,1.5278640450004197,0.7192379579922143,23.82026537478295
0.8508480103472356,0.5801810012205926,2.2434227689901802,0.7430463694778042,20.38555948591155
0.916297857297023,0.580181001220591,3.469658828873297,0.7498013593098046,20.702404186749867
0.9817477042468102,0.5801810012205907,5.641153970615641,0.737758957590653,20.826471727121554
1.0471975511965976,0.5801810012205904,9.669697220176623,0.7100072104478304,26.16795037525904
1.112647398146385,0.58018100122059,17.628423929950966,0.6732934168893281,48.39507715676965
1.1780972450961724,0.5801810012205924,34.74451833294176,0.6357266958382122,311.7660288140848
1.2435470920459597,0.5801810012205909,76.14275546856882,0.6045977309203456,172.6537251832627
1.308996938995747,0.5801810012205915,194.87672878014934,0.5851673873066556,13.974422402423608
1.3744467859455345,0.5801810012205908,639.7115399841457,0.5805217246302765,3.5916548745334884
1.4398966328953218,0.5801810012205905,3329.7355236270337,0.5921009231997321,1.4121646659748208
1.505346479845109,0.5801810012205908,54186.414785302615,0.6204432114257203,0.7793598630627453
1.5707963267948966,0.5801810012205915,inf,0.6658519229725111,0.5979049984199661
