theta,xi_ku_optimized
0.0,0.594487716453964
0.2617993877991494,0.43031435186079836
0.5235987755982988,0.41405568544263294
0.7853981633974483,0.3535911088335591
1.0471975511965976,0.33333333333333864
1.308996938995747,0.3343395462250796
1.5707963267948966,0.3333333333333335
1.832595714594046,0.33433954622508005
2.0943951023931953,0.3333333333333384
2.356194490192345,0.35359110883355793
2.617993877991494,0.41405568544263865
2.8797932657906435,0.4303143518607966
3.141592653589793,0.5944877164539641
