time,VPC_Iz,cat_Iz,VPC_Iz2,cat_Iz2
0.0,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
0.025,0.994930175608066,0.984616617238172,0.9991569925810881,0.9999999999999998
0.05,0.9899219113840476,0.9697065314067377,0.9983163863590379,0.9999999999999998
0.07500000000000001,0.9849741942087542,0.9552551806900169,0.9974781722146184,0.9999999999999998
0.1,0.9800860309236129,0.9412484512922976,0.9966423410667737,0.9999999999999998
0.125,0.975256447884925,0.9276726636537111,0.9958088838724573,0.9999999999999998
0.15000000000000002,0.9704844905290302,0.9145145590902,0.9949777916264657,0.9999999999999998
0.17500000000000002,0.9657692229480936,0.9017612868445302,0.9941490553612751,0.9999999999999998
0.2,0.9611097274762399,0.8894003915357023,0.9933226661468767,0.9999999999999998
0.225,0.9565051042857606,0.8774198009945036,0.9924986150906134,0.9999999999999998
0.25,0.9519544709931357,0.8658078144733208,0.9916768933370173,0.9999999999999998
0.275,0.9474569622746114,0.854553091218699,0.9908574920676483,0.9999999999999998
0.30000000000000004,0.9430117294910865,0.8436446393954858,0.9900404025009328,0.9999999999999998
0.325,0.9386179403220654,0.8330718053517437,0.9892256158920036,0.9999999999999998
0.35000000000000003,0.9342747784084433,0.8228242632139459,0.9884131235325394,0.9999999999999998
0.375,0.9299814430038924,0.8128920048022954,0.9876029167506069,0.9999999999999998
0.4,0.9257371486346323,0.8032653298563166,0.9867949869105022,0.9999999999999998
0.42500000000000004,0.9215411247673597,0.7939348365611731,0.9859893254125929,0.9999999999999998
0.45,0.9173926154851355,0.7848914123654613,0.985185923693162,0.9999999999999998
0.47500000000000003,0.9132908791710185,0.77612622508151,0.984384773224251,0.9999999999999998
0.5,0.9092351881992498,0.7676307142594949,0.9835858655135049,0.9999999999999998
0.525,0.9052248286337912,0.7593965828269446,0.9827891921040174,0.9999999999999998
0.55,0.9012590999340336,0.7514157889854703,0.9819947445741768,0.9999999999999998
0.5750000000000001,0.8973373146674863,0.7436805383568094,0.9812025145375123,0.9999999999999998
0.6000000000000001,0.8934587982292728,0.7361832763705072,0.9804124936425418,0.9999999999999998
0.625,0.889622888568258,0.728916680885807,0.9796246735726195,0.9999999999999998
0.65,0.8858289359196376,0.7218736550405398,0.9788390460457848,0.9999999999999998
0.675,0.8820763025438274,0.715047320320031,0.9780556028146108,0.9999999999999998
0.7000000000000001,0.8783643624714867,0.7084310098392541,0.9772743356660558,0.9999999999999998
0.7250000000000001,0.8746925012545288,0.7020182618316708,0.9764952364213126,0.9999999999999998
0.75,0.8710601157229589,0.6958028133383994,0.9757182969356603,0.9999999999999998
0.775,0.8674666137473974,0.6897785940915446,0.974943509098316,0.9999999999999998
0.8,0.8639114140071421,0.6839397205857211,0.9741708648322875,0.9999999999999998
0.8250000000000001,0.8603939457636313,0.6782804903319734,0.9734003560942273,0.9999999999999998
0.8500000000000001,0.8569136486391704,0.6727953762884872,0.9726319748742852,0.9999999999999998
0.875,0.8534699724007917,0.6674790214626474,0.9718657131959638,0.9999999999999998
0.9,0.8500623767491162,0.6623262336791748,0.9711015631159732,0.9999999999999998
0.925,0.8466903311120941,0.6573319805092294,0.9703395167240871,0.9999999999999998
0.9500000000000001,0.8433533144435013,0.6524913843555296,0.9695795661429996,0.9999999999999998
0.9750000000000001,0.8400508150260719,0.6477997176886853,0.9688217035281812,0.9999999999999998
